Date,Flow,Hour,Line
2020-07-10,32.501899,5,A9
2020-07-10,88.848574,5,AB1
2020-07-10,72.667457,5,AB2
2020-07-10,159.27325,5,AB3
2020-07-10,8.820409,5,B1
2020-07-10,-45.592638,5,B10
2020-07-10,-58.523174,5,B11
2020-07-10,-78.573869,5,B12-1
2020-07-10,-60.009006,5,B13-2
2020-07-10,-55.353078,5,B14
2020-07-10,-80.239619,5,B15
2020-07-10,-91.819771,5,B16
2020-07-10,-116.70631,5,B17
2020-07-10,-57.723125,5,B18
2020-07-10,-89.449724,5,B19
2020-07-10,-41.247306,5,B2
2020-07-10,-14.171678,5,B20
2020-07-10,-182.77425,5,B21
2020-07-10,-195.96393,5,B22
2020-07-10,-180.27769,5,B23
2020-07-10,-13.293339,5,B24
2020-07-10,-62.054778,5,B25-1
2020-07-10,-62.054778,5,B25-2
2020-07-10,90.905584,5,B26
2020-07-10,-107.75796,5,B27
2020-07-10,-39.631604,5,B28
2020-07-10,74.5846,5,B29
2020-07-10,21.612875,5,B3
2020-07-10,-23.069308,5,B30
2020-07-10,-40.660567,5,B31-1
2020-07-10,-40.660567,5,B31-2
2020-07-10,-62.18658,5,B32-1
2020-07-10,-62.18658,5,B32-2
2020-07-10,-92.150445,5,B33-1
2020-07-10,-92.150445,5,B33-2
2020-07-10,-35.430692,5,B34
2020-07-10,5.325852,5,B4
2020-07-10,18.080574,5,B5
2020-07-10,54.233482,5,B6
2020-07-10,-90.905584,5,B7
2020-07-10,-29.319867,5,B8
2020-07-10,-11.628288,5,B9
2020-07-10,18.511056,5,C1
2020-07-10,-49.318962,5,C10
2020-07-10,-45.475844,5,C11
2020-07-10,-65.159515,5,C12-1
2020-07-10,-42.527283,5,C13-2
2020-07-10,-51.970221,5,C14
2020-07-10,-50.312904,5,C15
2020-07-10,-96.426392,5,C16
2020-07-10,-94.769074,5,C17
2020-07-10,-15.713217,5,C18
2020-07-10,-132.6834,5,C19
2020-07-10,-55.225561,5,C2
2020-07-10,-18.613523,5,C20
2020-07-10,-126.46845,5,C21
2020-07-10,-130.73553,5,C22
2020-07-10,-203.26191,5,C23
2020-07-10,-8.758829,5,C24
2020-07-10,-114.24829,5,C25-1
2020-07-10,-114.24829,5,C25-2
2020-07-10,121.92867,5,C26
2020-07-10,-334.37343,5,C27
2020-07-10,147.97202,5,C28
2020-07-10,270.79443,5,C29
2020-07-10,-2.576624,5,C3
2020-07-10,-34.217863,5,C30
2020-07-10,-21.026111,5,C31-1
2020-07-10,-21.026111,5,C31-2
2020-07-10,41.0615,5,C32-1
2020-07-10,41.0615,5,C32-2
2020-07-10,17.777868,5,C33-1
2020-07-10,17.777868,5,C33-2
2020-07-10,-100.5488,5,C34
2020-07-10,-221.64825,5,C35
2020-07-10,-16.936956,5,C4
2020-07-10,0.158757,5,C5
2020-07-10,43.692894,5,C6
2020-07-10,-121.92867,5,C7
2020-07-10,-43.858656,5,C8
2020-07-10,-28.406904,5,C9
