Curtailment,Date,Generator,Hour,Output,Output DA,Unit Market Revenue,Unit Uplift Payment
0.0,2020-07-10,313_PV_1,4,0.0,,,
0.0,2020-07-10,313_PV_2,4,0.0,,,
0.0,2020-07-10,313_RTPV_1,4,0.0,,,
0.0,2020-07-10,313_RTPV_10,4,0.0,,,
0.0,2020-07-10,313_RTPV_11,4,0.0,,,
0.0,2020-07-10,313_RTPV_12,4,0.0,,,
0.0,2020-07-10,313_RTPV_13,4,0.0,,,
0.0,2020-07-10,313_RTPV_2,4,0.0,,,
0.0,2020-07-10,313_RTPV_3,4,0.0,,,
0.0,2020-07-10,313_RTPV_4,4,0.0,,,
0.0,2020-07-10,313_RTPV_5,4,0.0,,,
0.0,2020-07-10,313_RTPV_6,4,0.0,,,
0.0,2020-07-10,313_RTPV_7,4,0.0,,,
0.0,2020-07-10,313_RTPV_8,4,0.0,,,
0.0,2020-07-10,313_RTPV_9,4,0.0,,,
0.0,2020-07-10,314_PV_1,4,0.0,,,
0.0,2020-07-10,314_PV_2,4,0.0,,,
0.0,2020-07-10,314_PV_3,4,0.0,,,
0.0,2020-07-10,314_PV_4,4,0.0,,,
0.0,2020-07-10,317_WIND_1,4,203.375,,,
0.0,2020-07-10,319_PV_1,4,0.0,,,
0.0,2020-07-10,320_PV_1,4,0.0,,,
0.0,2020-07-10,320_RTPV_1,4,0.0,,,
0.0,2020-07-10,320_RTPV_2,4,0.0,,,
0.0,2020-07-10,320_RTPV_3,4,0.0,,,
0.0,2020-07-10,320_RTPV_4,4,0.0,,,
0.0,2020-07-10,320_RTPV_5,4,0.0,,,
0.0,2020-07-10,320_RTPV_6,4,0.0,,,
0.0,2020-07-10,322_HYDRO_1,4,33.558333,,,
0.0,2020-07-10,322_HYDRO_2,4,33.558333,,,
0.0,2020-07-10,322_HYDRO_3,4,33.558333,,,
0.0,2020-07-10,322_HYDRO_4,4,33.558333,,,
0.0,2020-07-10,324_PV_1,4,0.0,,,
0.0,2020-07-10,324_PV_2,4,0.0,,,
0.0,2020-07-10,324_PV_3,4,0.0,,,
0.0,2020-07-10,101_PV_1,5,0.0,,,
0.0,2020-07-10,101_PV_2,5,0.0,,,
0.0,2020-07-10,101_PV_3,5,0.0,,,
0.0,2020-07-10,101_PV_4,5,0.0,,,
0.0,2020-07-10,102_PV_1,5,0.0,,,
0.0,2020-07-10,102_PV_2,5,0.0,,,
0.0,2020-07-10,103_PV_1,5,0.0,,,
0.0,2020-07-10,104_PV_1,5,0.0,,,
0.0,2020-07-10,113_PV_1,5,0.0,,,
0.0,2020-07-10,118_RTPV_1,5,0.0,,,
0.0,2020-07-10,118_RTPV_10,5,0.0,,,
0.0,2020-07-10,118_RTPV_2,5,0.0,,,
0.0,2020-07-10,118_RTPV_3,5,0.0,,,
0.0,2020-07-10,118_RTPV_4,5,0.0,,,
0.0,2020-07-10,118_RTPV_5,5,0.0,,,
0.0,2020-07-10,118_RTPV_6,5,0.0,,,
0.0,2020-07-10,118_RTPV_7,5,0.0,,,
0.0,2020-07-10,118_RTPV_8,5,0.0,,,
0.0,2020-07-10,118_RTPV_9,5,0.0,,,
0.0,2020-07-10,119_PV_1,5,0.0,,,
-0.0,2020-07-10,122_HYDRO_1,5,26.441667,,,
-0.0,2020-07-10,122_HYDRO_2,5,26.441667,,,
-0.0,2020-07-10,122_HYDRO_3,5,26.441667,,,
-0.0,2020-07-10,122_HYDRO_4,5,26.441667,,,
-0.0,2020-07-10,122_HYDRO_5,5,26.441667,,,
-0.0,2020-07-10,122_HYDRO_6,5,26.441667,,,
0.0,2020-07-10,122_WIND_1,5,344.025,,,
0.0,2020-07-10,201_HYDRO_4,5,9.75,,,
0.0,2020-07-10,212_CSP_1,5,0.0,,,
0.0,2020-07-10,213_RTPV_1,5,0.0,,,
0.0,2020-07-10,215_HYDRO_1,5,9.75,,,
0.0,2020-07-10,215_HYDRO_2,5,9.75,,,
0.0,2020-07-10,215_HYDRO_3,5,9.75,,,
0.0,2020-07-10,215_PV_1,5,0.0,,,
0.0,2020-07-10,222_HYDRO_1,5,9.75,,,
0.0,2020-07-10,222_HYDRO_2,5,9.75,,,
0.0,2020-07-10,222_HYDRO_3,5,9.75,,,
0.0,2020-07-10,222_HYDRO_4,5,9.75,,,
0.0,2020-07-10,222_HYDRO_5,5,9.75,,,
0.0,2020-07-10,222_HYDRO_6,5,9.75,,,
0.0,2020-07-10,303_WIND_1,5,42.475,,,
0.0,2020-07-10,308_RTPV_1,5,0.0,,,
0.0,2020-07-10,309_WIND_1,5,26.708333,,,
0.0,2020-07-10,310_PV_1,5,0.0,,,
0.0,2020-07-10,310_PV_2,5,0.0,,,
0.0,2020-07-10,312_PV_1,5,0.0,,,
0.0,2020-07-10,313_PV_1,5,0.0,,,
0.0,2020-07-10,313_PV_2,5,0.0,,,
0.0,2020-07-10,313_RTPV_1,5,0.0,,,
0.0,2020-07-10,313_RTPV_10,5,0.0,,,
0.0,2020-07-10,313_RTPV_11,5,0.0,,,
0.0,2020-07-10,313_RTPV_12,5,0.0,,,
0.0,2020-07-10,313_RTPV_13,5,0.0,,,
0.0,2020-07-10,313_RTPV_2,5,0.0,,,
0.0,2020-07-10,313_RTPV_3,5,0.0,,,
0.0,2020-07-10,313_RTPV_4,5,0.0,,,
0.0,2020-07-10,313_RTPV_5,5,0.0,,,
0.0,2020-07-10,313_RTPV_6,5,0.0,,,
0.0,2020-07-10,313_RTPV_7,5,0.0,,,
0.0,2020-07-10,313_RTPV_8,5,0.0,,,
0.0,2020-07-10,313_RTPV_9,5,0.0,,,
0.0,2020-07-10,314_PV_1,5,0.0,,,
0.0,2020-07-10,314_PV_2,5,0.0,,,
0.0,2020-07-10,314_PV_3,5,0.0,,,
0.0,2020-07-10,314_PV_4,5,0.0,,,
-0.0,2020-07-10,317_WIND_1,5,570.95,,,
0.0,2020-07-10,319_PV_1,5,0.0,,,
0.0,2020-07-10,320_PV_1,5,0.0,,,
0.0,2020-07-10,320_RTPV_1,5,0.0,,,
0.0,2020-07-10,320_RTPV_2,5,0.0,,,
0.0,2020-07-10,320_RTPV_3,5,0.0,,,
0.0,2020-07-10,320_RTPV_4,5,0.0,,,
0.0,2020-07-10,320_RTPV_5,5,0.0,,,
0.0,2020-07-10,320_RTPV_6,5,0.0,,,
-0.0,2020-07-10,322_HYDRO_1,5,33.691667,,,
-0.0,2020-07-10,322_HYDRO_2,5,33.691667,,,
-0.0,2020-07-10,322_HYDRO_3,5,33.691667,,,
-0.0,2020-07-10,322_HYDRO_4,5,33.691667,,,
0.0,2020-07-10,324_PV_1,5,0.0,,,
0.0,2020-07-10,324_PV_2,5,0.0,,,
0.0,2020-07-10,324_PV_3,5,0.0,,,
-0.0,2020-07-10,101_PV_1,6,0.041667,,,
0.0,2020-07-10,101_PV_2,6,0.033333,,,
0.0,2020-07-10,101_PV_3,6,0.0,,,
0.0,2020-07-10,101_PV_4,6,0.008333,,,
0.0,2020-07-10,102_PV_1,6,0.058333,,,
0.0,2020-07-10,102_PV_2,6,0.0,,,
0.0,2020-07-10,103_PV_1,6,0.0,,,
0.0,2020-07-10,104_PV_1,6,0.0,,,
0.0,2020-07-10,113_PV_1,6,0.008333,,,
0.0,2020-07-10,118_RTPV_1,6,0.0,,,
0.0,2020-07-10,118_RTPV_10,6,0.0,,,
0.0,2020-07-10,118_RTPV_2,6,0.0,,,
0.0,2020-07-10,118_RTPV_3,6,0.0,,,
0.0,2020-07-10,118_RTPV_4,6,0.0,,,
0.0,2020-07-10,118_RTPV_5,6,0.0,,,
0.0,2020-07-10,118_RTPV_6,6,0.0,,,
0.0,2020-07-10,118_RTPV_7,6,0.0,,,
0.0,2020-07-10,118_RTPV_8,6,0.0,,,
0.0,2020-07-10,118_RTPV_9,6,0.0,,,
0.0,2020-07-10,119_PV_1,6,0.0,,,
-0.0,2020-07-10,122_HYDRO_1,6,33.779167,,,
-0.0,2020-07-10,122_HYDRO_2,6,33.779167,,,
-0.0,2020-07-10,122_HYDRO_3,6,33.779167,,,
-0.0,2020-07-10,122_HYDRO_4,6,33.779167,,,
-0.0,2020-07-10,122_HYDRO_5,6,33.779167,,,
-0.0,2020-07-10,122_HYDRO_6,6,33.779167,,,
3e-06,2020-07-10,122_WIND_1,6,417.43333,,,
0.0,2020-07-10,201_HYDRO_4,6,14.85,,,
0.0,2020-07-10,212_CSP_1,6,0.0,,,
0.0,2020-07-10,213_RTPV_1,6,0.0,,,
0.0,2020-07-10,215_HYDRO_1,6,14.85,,,
0.0,2020-07-10,215_HYDRO_2,6,14.85,,,
0.0,2020-07-10,215_HYDRO_3,6,14.85,,,
0.0,2020-07-10,215_PV_1,6,0.0,,,
0.0,2020-07-10,222_HYDRO_1,6,14.85,,,
0.0,2020-07-10,222_HYDRO_2,6,14.85,,,
0.0,2020-07-10,222_HYDRO_3,6,14.85,,,
0.0,2020-07-10,222_HYDRO_4,6,14.85,,,
0.0,2020-07-10,222_HYDRO_5,6,14.85,,,
0.0,2020-07-10,222_HYDRO_6,6,14.85,,,
0.0,2020-07-10,303_WIND_1,6,20.183333,,,
0.0,2020-07-10,308_RTPV_1,6,0.0,,,
0.0,2020-07-10,309_WIND_1,6,15.5,,,
0.0,2020-07-10,310_PV_1,6,0.0,,,
0.0,2020-07-10,310_PV_2,6,0.0,,,
0.0,2020-07-10,312_PV_1,6,0.0,,,
0.0,2020-07-10,313_PV_1,6,0.0,,,
0.0,2020-07-10,313_PV_2,6,0.0,,,
0.0,2020-07-10,313_RTPV_1,6,0.0,,,
0.0,2020-07-10,313_RTPV_10,6,0.0,,,
0.0,2020-07-10,313_RTPV_11,6,0.0,,,
0.0,2020-07-10,313_RTPV_12,6,0.0,,,
0.0,2020-07-10,313_RTPV_13,6,0.0,,,
0.0,2020-07-10,313_RTPV_2,6,0.0,,,
0.0,2020-07-10,313_RTPV_3,6,0.0,,,
0.0,2020-07-10,313_RTPV_4,6,0.0,,,
0.0,2020-07-10,313_RTPV_5,6,0.0,,,
0.0,2020-07-10,313_RTPV_6,6,0.0,,,
0.0,2020-07-10,313_RTPV_7,6,0.0,,,
0.0,2020-07-10,313_RTPV_8,6,0.0,,,
0.0,2020-07-10,313_RTPV_9,6,0.0,,,
0.0,2020-07-10,314_PV_1,6,0.0,,,
0.0,2020-07-10,314_PV_2,6,0.0,,,
0.0,2020-07-10,314_PV_3,6,0.0,,,
0.0,2020-07-10,314_PV_4,6,0.0,,,
-0.0,2020-07-10,317_WIND_1,6,693.45,,,
0.0,2020-07-10,319_PV_1,6,0.0,,,
0.0,2020-07-10,320_PV_1,6,0.0,,,
0.0,2020-07-10,320_RTPV_1,6,0.0,,,
0.0,2020-07-10,320_RTPV_2,6,0.0,,,
0.0,2020-07-10,320_RTPV_3,6,0.0,,,
0.0,2020-07-10,320_RTPV_4,6,0.0,,,
0.0,2020-07-10,320_RTPV_5,6,0.0,,,
